method_label,lam,alpha_fair,unfairness_level,n_seeds,test_regret_normalized_mean,test_regret_normalized_std,test_fairness_mean,test_fairness_std,test_pred_mse_mean,test_pred_mse_std,avg_cos_dec_pred_mean,avg_cos_dec_pred_std,avg_cos_dec_fair_mean,avg_cos_dec_fair_std,avg_cos_pred_fair_mean,avg_cos_pred_fair_std,stage_wallclock_sec_mean,stage_wallclock_sec_std
FPTO,0.0,2.0,medium,5,0.0842083022495715,0.012962062673188097,0.10535509582205085,0.051723176047402813,0.6005643092505031,0.03554867717955971,0.0,0.0,0.0,0.0,0.2609808238131906,0.049937004651000004,0.27665084600002954,0.045925731318414036
FPTO,0.5,2.0,medium,5,0.08816484528783926,0.015654150740701457,0.05275884387352923,0.03378865263287135,0.6354113508722804,0.04233397618401582,0.0,0.0,0.0,0.0,0.19937768997623811,0.0682237463834607,0.27240883119998216,0.04209285648836624
FPTO,1.0,2.0,medium,5,0.09951185888895156,0.011999436866940811,0.049852840029430814,0.04368438758520546,0.7474208931665458,0.03837431939138528,0.0,0.0,0.0,0.0,0.12637319426322086,0.10295102089652276,0.3088785353999356,0.0657587019702982
FPTO,5.0,2.0,medium,5,0.15544037691966525,0.03261752207545862,0.03267219330300464,0.023946424949601364,1.308361923725025,0.13009647731020016,0.0,0.0,0.0,0.0,0.10967669674369063,0.04811364568196064,0.2745898528000453,0.035290256356763514
FPTO,0.0,2.0,mild,5,0.08285037506107014,0.012119259564024942,0.07969573620886869,0.05146857986899341,0.5753254659266048,0.03751684067322161,0.0,0.0,0.0,0.0,0.20877724205400172,0.051266146602807997,0.32401830099997825,0.07261032851541784
FPTO,0.5,2.0,mild,5,0.08775692221222377,0.016008925559699724,0.04282944049198152,0.02185812959232062,0.6160285147179329,0.04229985825805824,0.0,0.0,0.0,0.0,0.17977846404201586,0.05892180217415799,0.31528465759997737,0.0653253609808764
FPTO,1.0,2.0,mild,5,0.09673679103364861,0.011757042699354804,0.046572950932494354,0.04263006338888909,0.7113640174695902,0.0412473214177086,0.0,0.0,0.0,0.0,0.14124314140045968,0.06198669334459582,0.28681952919996545,0.04083835576491372
FPTO,5.0,2.0,mild,5,0.14757277670920282,0.029453521768428793,0.044770106748834124,0.017118870200013046,1.2537118605550863,0.11747966762604793,0.0,0.0,0.0,0.0,0.1251715230207856,0.04610361427373533,0.2915563936000126,0.050214508656085705
SAA,0.0,0.5,high,5,0.0274372072108987,0.0,0.136863524617206,0.0,1.8551762455034768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.299140000512125e-05,7.384455065689854e-07
SAA,0.0,0.5,medium,5,0.0321765535540182,0.0,0.2469630690295944,0.0,1.7100912476801349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.541960006463341e-05,4.734444622233817e-06
SAA,0.0,0.5,mild,5,0.0321408208126451,0.0,0.1689384153004883,0.0,1.6522814592280604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.371820014057448e-05,5.763646088558133e-07
SAA,0.0,2.0,high,5,0.1564456725134508,0.0,0.136863524617206,0.0,1.8551762455034768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636120008601093e-05,3.0376817003525497e-05
SAA,0.0,2.0,medium,5,0.1501061205470646,0.0,0.2469630690295944,0.0,1.7100912476801349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736539999612432e-05,1.5845130565046223e-05
SAA,0.0,2.0,mild,5,0.1487690783734727,0.0,0.1689384153004883,0.0,1.6522814592280604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.227200003901089e-05,2.4877802010092695e-05
WDRO,0.0,0.5,high,5,0.010781600612510841,0.0011711932694885808,0.09387533642221815,0.07218905512773892,0.6659493489419994,0.035880487119110585,0.0,0.0,0.0,0.0,0.0,0.0,0.26294195919990665,0.008556720352259182
WDRO,0.0,0.5,medium,5,0.011674192154416,0.0009139799414807883,0.10593903169011394,0.051612775864039374,0.6151776270845462,0.037391249156994565,0.0,0.0,0.0,0.0,0.0,0.0,0.2634585472000254,0.003310329423355267
WDRO,0.0,0.5,mild,5,0.011522595695544879,0.0009544764607201439,0.07848061688715802,0.05140359294433053,0.5901608613453952,0.040034012568196026,0.0,0.0,0.0,0.0,0.0,0.0,0.27896362599994967,0.018901521522409533
WDRO,0.0,2.0,high,5,0.08768746727956271,0.014687389214332294,0.09387533642221815,0.07218905512773892,0.6659493489419994,0.035880487119110585,0.0,0.0,0.0,0.0,0.0,0.0,0.2846155696000096,0.06962964267247411
WDRO,0.0,2.0,medium,5,0.08655782186573542,0.01361528655670544,0.10593903169011394,0.051612775864039374,0.6151776270845462,0.037391249156994565,0.0,0.0,0.0,0.0,0.0,0.0,0.2778598309999779,0.039961509680895395
WDRO,0.0,2.0,mild,5,0.0853486885953236,0.012938843534051678,0.07848061688715802,0.05140359294433053,0.5901608613453952,0.040034012568196026,0.0,0.0,0.0,0.0,0.0,0.0,0.31183066799999326,0.07338500689186803
